 ,Mean(before_f1_bg)
1270,62.225
1271,63.431
1272,61.459
1273,65.542
1274,64.337
1275,63.076
1276,66.504
1277,65.859
1278,58.468
1279,62.989
1280,68.536
1281,66.838
1282,64.507
1283,61.552
1284,61.789
1285,61.109
1286,64.324
1287,64.609
1288,58.018
1289,61.972
1290,61.170
1291,58.195
1292,60.278
1293,55.761
1294,56.496
1295,62.241
1296,59.516
1297,59.158
1298,57.723
1299,61.535
1300,59.219
1301,54.515
1302,62.049
1303,60.900
1304,57.662
1305,60.260
1306,59.598
1307,64.068
1308,63.470
1309,60.831
1310,59.358
1311,67.179
1312,59.792
1313,57.386
1314,58.214
1315,56.432
1316,58.983
1317,62.944
1318,55.566
1319,54.680
1320,56.598
1321,58.961
1322,60.092
1323,61.058
1324,56.054
1325,55.483
1326,58.177
1327,61.452
1328,59.943
1329,57.244
1330,61.229
1331,64.677
1332,60.244
1333,57.681
1334,56.641
1335,58.869
1336,60.901
1337,65.794
1338,61.608
1339,61.787
1340,60.278
1341,57.858
1342,56.323
1343,60.747
1344,58.994
1345,59.590
1346,58.791
1347,57.893
1348,55.114
1349,60.749
1350,57.547
1351,60.193
1352,55.727
1353,61.195
1354,58.394
1355,58.244
1356,56.140
1357,60.571
1358,57.078
1359,56.877
1360,53.984
1361,57.530
1362,53.179
1363,56.897
1364,55.900
1365,60.684
1366,61.276
1367,59.058
1368,58.811
1369,61.208
1370,59.023
1371,56.451
1372,55.895
1373,56.017
1374,53.610
1375,56.710
1376,59.485
1377,59.146
1378,59.099
1379,58.424
1380,59.376
1381,58.424
1382,60.181
1383,60.569
1384,58.575
1385,58.376
1386,55.643
1387,63.763
1388,65.786
1389,64.283
1390,60.062
1391,66.438
1392,59.542
1393,63.202
1394,54.994
1395,60.919
1396,57.873
1397,58.161
1398,59.734
1399,59.225
1400,59.756
1401,61.090
1402,57.641
1403,55.287
1404,54.392
1405,56.673
1406,56.769
1407,57.689
1408,59.485
1409,61.562
1410,54.982
1411,59.559
1412,56.696
1413,56.382
1414,58.614
1415,56.872
1416,59.923
1417,58.575
1418,59.725
1419,55.903
1420,61.186
1421,57.671
1422,56.224
1423,57.647
1424,59.196
1425,55.306
1426,59.080
1427,60.292
1428,57.083
1429,62.117
1430,57.137
1431,58.463
1432,55.626
1433,55.637
1434,58.421
1435,63.926
1436,59.237
1437,58.682
1438,59.058
1439,59.843
1440,55.410
1441,62.946
1442,61.962
1443,58.869
1444,51.935
1445,53.911
1446,54.455
1447,57.154
1448,56.029
1449,58.234
1450,59.038
1451,58.844
1452,57.808
1453,62.189
1454,60.147
1455,61.345
1456,60.461
1457,53.173
1458,57.203
1459,60.606
1460,56.840
1461,56.756
1462,55.203
1463,63.001
1464,55.129
1465,58.545
1466,55.086
1467,59.451
1468,58.456
1469,57.298
1470,56.882
1471,66.166
1472,64.038
1473,62.369
1474,61.629
1475,57.455
1476,58.717
1477,59.013
1478,57.927
1479,59.080
1480,56.718
1481,57.113
1482,60.714
1483,58.809
1484,61.517
1485,57.028
1486,54.394
1487,63.205
1488,59.345
1489,64.979
1490,65.239
1491,60.425
1492,57.092
1493,59.827
1494,61.897
1495,62.146
1496,64.049
1497,63.358
1498,67.076
1499,62.489
1500,62.892
1501,64.212
1502,60.179
1503,59.294
1504,63.224
1505,61.564
1506,64.219
1507,62.924
1508,61.084
1509,59.451
1510,63.266
1511,60.809
1512,59.536
1513,59.683
1514,60.260
1515,60.283
1516,56.844
1517,54.173
1518,55.031
1519,60.311
1520,60.442
1521,56.545
1522,60.138
1523,61.844
1524,57.974
1525,63.353
1526,60.532
1527,62.052
1528,57.198
1529,60.983
1530,60.902
1531,62.481
1532,61.897
1533,59.795
1534,61.128
1535,55.914
1536,56.352
1537,60.653
1538,59.792
1539,61.410
1540,62.651
1541,56.663
1542,61.606
1543,63.685
1544,56.221
1545,59.272
1546,58.776
1547,59.565
1548,57.817
1549,58.555
1550,57.599
1551,65.537
1552,60.869
1553,58.658
1554,61.208
1555,58.963
1556,64.501
1557,58.871
1558,55.906
1559,58.006
1560,60.108
1561,59.547
1562,56.595
1563,61.896
1564,61.169
1565,59.210
1566,59.702
1567,54.371
1568,60.569
1569,62.545
1570,56.021
1571,62.347
1572,60.627
1573,58.242
1574,57.737
1575,60.686
1576,60.390
1577,57.744
1578,61.836
1579,63.427
1580,63.613
1581,62.883
1582,65.615
1583,61.812
1584,64.458
1585,58.406
1586,58.579
1587,56.403
1588,61.978
1589,61.026
1590,59.722
1591,60.725
1592,60.936
1593,61.471
1594,58.299
1595,60.612
1596,67.769
1597,58.429
1598,59.488
1599,61.412
1600,57.059
1601,62.136
1602,59.281
1603,62.772
1604,58.339
1605,58.529
1606,60.603
1607,59.504
1608,55.542
1609,58.273
1610,59.298
1611,63.133
1612,61.105
1613,59.249
1614,59.785
1615,58.507
1616,59.622
1617,57.908
1618,63.757
1619,62.366
1620,57.194
1621,59.496
1622,54.807
1623,58.508
1624,56.574
1625,61.999
1626,59.474
1627,61.689
1628,52.299
1629,61.365
1630,58.951
1631,59.728
1632,56.435
1633,58.537
1634,54.018
1635,55.435
1636,54.907
1637,56.712
1638,59.722
1639,57.326
1640,51.854
1641,55.737
1642,55.513
1643,59.186
1644,58.560
1645,56.218
1646,57.194
1647,53.972
1648,60.474
1649,57.903
1650,56.666
1651,56.454
1652,57.265
1653,58.695
1654,57.070
1655,60.425
1656,56.173
1657,59.612
1658,57.985
1659,53.652
1660,60.133
1661,59.056
1662,58.171
1663,57.473
1664,64.948
1665,58.316
1666,54.138
1667,62.144
1668,60.369
1669,58.200
1670,60.193
1671,59.013
1672,57.756
1673,60.069
1674,66.760
1675,57.446
1676,57.953
1677,55.740
1678,63.581
1679,64.299
1680,62.734
1681,57.346
1682,58.100
1683,58.456
1684,59.074
1685,56.910
1686,55.922
1687,55.030
1688,54.394
1689,57.393
1690,53.910
1691,54.262
1692,59.473
1693,55.952
1694,56.644
1695,54.052
1696,57.094
1697,59.517
1698,58.181
1699,58.602
1700,58.792
1701,55.431
1702,56.019
1703,61.119
1704,58.411
1705,59.127
1706,58.127
1707,57.029
1708,57.378
1709,59.801
1710,56.482
1711,56.799
1712,53.396
1713,61.203
1714,58.454
1715,65.818
1716,65.548
1717,64.371
1718,64.444
1719,66.230
1720,68.118
1721,63.427
1722,63.235
1723,64.999
1724,66.232
1725,67.761
1726,64.701
1727,63.360
1728,61.567
1729,61.521
1730,55.561
1731,60.056
1732,64.530
1733,59.347
1734,61.171
1735,58.671
1736,62.780
1737,57.129
1738,61.015
1739,52.415
1740,61.038
1741,55.200
1742,56.362
1743,60.604
1744,55.850
1745,57.943
1746,61.671
1747,61.752
1748,55.805
1749,59.634
1750,55.732
1751,61.562
1752,53.605
1753,54.430
1754,55.454
1755,55.456
1756,55.708
1757,57.512
1758,57.610
1759,54.423
1760,55.996
1761,61.651
1762,59.425
1763,57.517
1764,59.424
1765,62.429
1766,56.674
1767,56.324
1768,55.834
1769,56.502
1770,57.225
1771,58.509
1772,56.627
1773,58.415
1774,58.056
1775,61.033
1776,60.871
1777,61.438
1778,56.191
1779,59.637
1780,55.634
1781,60.539
1782,61.057
1783,61.658
1784,60.309
1785,60.888
1786,59.999
1787,60.396
1788,57.927
1789,60.674
1790,62.350
1791,60.460
1792,55.152
1793,58.714
1794,55.788
1795,58.174
1796,56.050
1797,59.191
1798,57.939
1799,54.194
1800,58.474
1801,58.648
1802,53.551
1803,54.116
1804,62.414
1805,57.671
1806,59.112
1807,57.234
1808,60.590
1809,60.898
1810,57.729
1811,59.085
1812,61.551
1813,59.406
1814,57.581
1815,57.192
1816,57.438
1817,58.158
1818,61.059
1819,57.662
1820,52.051
1821,59.119
1822,59.480
1823,64.230
1824,60.358
1825,63.165
1826,60.641
1827,59.983
1828,61.528
1829,60.757
1830,62.975
1831,64.881
1832,66.173
1833,62.488
1834,62.334
1835,64.068
1836,61.692
1837,67.922
1838,64.526
1839,64.375
1840,66.225
1841,58.897
1842,61.180
1843,66.786
1844,64.754
1845,60.474
1846,58.415
1847,60.339
1848,65.905
1849,60.463
1850,56.656
1851,57.843
1852,61.305
1853,59.041
1854,59.673
1855,55.724
1856,55.941
1857,57.575
1858,60.148
1859,57.392
1860,59.305
1861,58.108
1862,55.489
1863,57.576
1864,53.144
1865,57.122
1866,54.040
1867,57.145
1868,56.414
1869,55.627
1870,61.244
1871,60.756
1872,56.941
1873,59.041
1874,57.791
1875,59.055
1876,58.796
1877,57.186
1878,54.413
1879,56.985
1880,55.456
1881,57.557
1882,56.818
1883,55.223
1884,55.549
1885,56.948
1886,56.194
1887,54.569
1888,63.964
1889,61.108
1890,57.604
1891,55.896
1892,56.581
1893,55.600
1894,52.646
1895,55.724
1896,58.210
1897,59.518
1898,56.410
1899,58.638
1900,58.372
1901,55.812
1902,55.627
1903,58.905
1904,59.507
1905,62.703
1906,62.828
1907,59.228
1908,56.324
1909,58.323
1910,54.797
1911,58.423
1912,56.464
1913,60.223
1914,62.429
1915,55.963
1916,57.843
1917,56.829
1918,60.944
1919,57.577
1920,62.733
1921,61.427
1922,58.855
1923,57.297
1924,53.535
1925,56.993
1926,63.912
1927,61.069
1928,61.151
1929,62.242
1930,59.728
1931,54.671
1932,60.589
1933,59.600
1934,61.310
1935,64.500
1936,58.069
1937,61.004
1938,58.189
1939,64.042
1940,63.403
1941,65.606
1942,66.028
1943,65.083
1944,61.751
1945,63.641
1946,62.700
1947,60.638
1948,61.853
1949,59.494
1950,62.587
1951,60.713
1952,60.141
1953,65.506
1954,57.477
1955,61.469
1956,59.319
1957,54.756
1958,57.368
1959,56.412
1960,59.860
1961,59.997
1962,60.215
1963,54.812
1964,61.847
1965,59.279
1966,59.193
1967,58.901
1968,59.508
1969,56.992
1970,56.088
1971,55.188
1972,59.056
1973,62.609
1974,56.294
1975,58.482
1976,57.249
1977,57.244
1978,55.989
1979,58.287
1980,56.108
1981,59.177
1982,54.979
1983,60.217
1984,59.705
1985,56.607
1986,59.622
1987,55.657
1988,58.018
1989,60.338
1990,58.739
1991,57.799
1992,59.584
1993,57.552
1994,63.342
1995,56.730
1996,61.820
1997,63.676
1998,65.606
1999,62.787
2000,65.855
2001,59.147
2002,57.517
2003,57.379
2004,59.695
2005,59.032
2006,60.791
2007,59.826
2008,60.186
2009,55.760
2010,59.719
2011,56.712
2012,57.465
2013,57.949
2014,59.724
2015,57.872
2016,62.527
2017,60.559
2018,56.824
2019,55.698
2020,58.952
2021,59.556
2022,55.037
2023,60.076
2024,57.079
2025,57.875
2026,56.511
2027,53.504
2028,56.838
2029,56.316
2030,55.791
2031,58.112
2032,56.972
2033,60.015
2034,59.339
2035,58.783
2036,62.290
2037,60.773
2038,57.247
2039,58.468
2040,60.765
2041,57.890
2042,58.080
2043,56.329
2044,57.368
2045,59.914
2046,60.403
2047,57.857
2048,58.809
2049,58.555
2050,60.696
2051,61.378
2052,56.700
2053,57.525
2054,61.136
2055,58.396
2056,63.327
2057,60.458
2058,57.412
2059,54.648
2060,61.672
2061,60.400
2062,61.272
2063,61.042
2064,59.182
2065,57.234
2066,65.241
2067,57.559
2068,62.228
2069,54.508
2070,62.179
2071,68.518
2072,61.393
2073,59.291
2074,58.167
2075,57.152
2076,60.315
2077,57.475
2078,58.926
2079,60.691
2080,58.268
2081,61.647
2082,53.404
2083,52.913
2084,62.941
2085,58.590
2086,61.347
2087,63.574
2088,58.940
2089,62.383
2090,55.975
2091,58.743
2092,60.982
2093,62.573
2094,59.205
2095,62.231
2096,62.860
2097,57.742
2098,63.501
2099,59.512
2100,57.413
2101,56.748
2102,59.968
2103,58.635
2104,57.254
2105,56.711
2106,59.019
2107,55.556
2108,54.772
2109,59.525
2110,59.500
